SCH_NAME,ADDRESSES,NCESSCH
WASHINGTONVILLE MIDDLE SCHOOL,"38 W MAIN ST, WASHINGTONVILLE, NY 10992",363003004039
WASHINGTONVILLE SENIOR HIGH SCHOOL,"54 W MAIN ST, WASHINGTONVILLE, NY 10992",363003004040
WATERFORD-HALFMOON ELEMENTARY SCHOOL,"125 MIDDLETOWN RD, WATERFORD, NY 12188",363006004041
WATERFORD-HALFMOON JUNIOR-SENIOR HIGH SCHOOL,"125 MIDDLETOWN RD, WATERFORD, NY 12188",363006004042
CASE MIDDLE SCHOOL,"1237 WASHINGTON ST, WATERTOWN, NY 13601",363012004047
HAROLD T WILEY SCHOOL,"1351 WASHINGTON ST, WATERTOWN, NY 13601",363012004048
KNICKERBOCKER SCHOOL,"739 KNICKERBOCKER DR, WATERTOWN, NY 13601",363012004051
OHIO STREET SCHOOL,"1537 OHIO ST, WATERTOWN, NY 13601",363012004054
SHERMAN SCHOOL,"836 SHERMAN ST, WATERTOWN, NY 13601",363012004055
WATERTOWN SENIOR HIGH SCHOOL,"1335 WASHINGTON ST, WATERTOWN, NY 13601",363012004057
NORTH ELEMENTARY SCHOOL,"171 E HOARD ST, WATERTOWN, NY 13601",363012004622
STARBUCK ELEMENTARY SCHOOL,"430 E HOARD ST, WATERTOWN, NY 13601",363012005921
WATERVILLE JR/SR HIGH SCHOOL,"381 MADISON ST, WATERVILLE, NY 13480",363016004538
MEMORIAL PARK ELEMENTARY SCHOOL,"145 E BACON ST, WATERVILLE, NY 13480",363016004573
WATERVLIET ELEMENTARY SCHOOL,"2557 10TH AVE, WATERVLIET, NY 12189",363021004060
WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,"1245 HILLSIDE DR, WATERVLIET, NY 12189",363021004061
WATKINS GLEN CENTRAL HIGH SCHOOL,"301 12TH ST, WATKINS GLEN, NY 14891",363024004062
WATKINS GLEN ELEMENTARY SCHOOL,"612 S DECATUR ST, WATKINS GLEN, NY 14891",363024004063
ELM STREET ELEMENTARY SCHOOL,"145 ELM ST, WAVERLY, NY 14892",363027004066
LINCOLN STREET ELEMENTARY SCHOOL,"45 LINCOLN ST, WAVERLY, NY 14892",363027004068
WAVERLY HIGH SCHOOL,"1 FREDERICK ST, WAVERLY, NY 14892",363027004069
WAVERLY MIDDLE SCHOOL,"1 FREDERICK ST, WAVERLY, NY 14892",363027005437
WAYNE CENTRAL ELEMENTARY SCHOOL,"1784 RIDGE RD, ONTARIO CENTER, NY 14520",363033004074
WAYNE CENTRAL PRIMARY SCHOOL,"1730 RIDGE RD, ONTARIO CENTER, NY 14520",363033004075
WAYNE CENTRAL MIDDLE SCHOOL,"6076 ONTARIO CTR RD, ONTARIO CENTER, NY 14520",363033004076
WAYNE SENIOR HIGH SCHOOL,"6200 ONTARIO CTR RD, ONTARIO CENTER, NY 14520",363033004078
SPRY MIDDLE SCHOOL,"119 SOUTH AVE, WEBSTER, NY 14580",363036001207
WILLINK MIDDLE SCHOOL,"900 PUBLISHERS PKWY, WEBSTER, NY 14580",363036004081
KLEM ROAD NORTH ELEMENTARY SCHOOL,"1015 KLEM RD, WEBSTER, NY 14580",363036004083
KLEM ROAD SOUTH ELEMENTARY SCHOOL,"1025 KLEM RD, WEBSTER, NY 14580",363036004084
PLANK ROAD SOUTH ELEMENTARY SCHOOL,"715 PLANK RD, WEBSTER, NY 14580",363036004086
WEBSTER-SCHROEDER HIGH SCHOOL,"875 RIDGE RD, WEBSTER, NY 14580",363036004087
STATE ROAD ELEMENTARY SCHOOL,"1401 STATE RD, WEBSTER, NY 14580",363036004089
DEWITT ROAD ELEMENTARY SCHOOL,"722 DEWITT RD, WEBSTER, NY 14580",363036004428
PLANK ROAD NORTH ELEMENTARY SCHOOL,"705 PLANK RD, WEBSTER, NY 14580",363036004709
SCHLEGEL ROAD ELEMENTARY SCHOOL,"1548 SCHLEGEL RD, WEBSTER, NY 14580",363036004792
THOMAS HIGH SCHOOL,"800 FIVE MILE LINE RD, WEBSTER, NY 14580",363036004865
WEBUTUCK HIGH SCHOOL,"194 HAIGHT RD, AMENIA, NY 12501",363039004093
WEBUTUCK ELEMENTARY SCHOOL,"175 HAIGHT RD, AMENIA, NY 12501",363039004971
EUGENE BROOKS MIDDLE SCHOOL,"194 HAIGHT RD, AMENIA, NY 12501",363039005848
WEEDSPORT ELEMENTARY SCHOOL,"8954 JACKSON ST, WEEDSPORT, NY 13166",363042004094
WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,"2821 E BRUTUS ST, WEEDSPORT, NY 13166",363042004095
WELLS SCHOOL,"1571 STATE RT 30, WELLS, NY 12190",363045004096
WELLSVILLE ELEMENTARY SCHOOL,"98 SCHOOL ST, WELLSVILLE, NY 14895",363048004098
WELLSVILLE SECONDARY SCHOOL,"126 W STATE ST, WELLSVILLE, NY 14895",363048004099
FOREST AVENUE SCHOOL,"200 FOREST AVE, WEST BABYLON, NY 11704",363054004100
JOHN F KENNEDY SCHOOL,"175 BROOKVALE AVE, WEST BABYLON, NY 11704",363054004101
SANTAPOGUE SCHOOL,"1130 HERZEL BLVD, WEST BABYLON, NY 11704",363054004102
SOUTH BAY SCHOOL,"160 GREAT E NECK RD, WEST BABYLON, NY 11704",363054004103
TOOKER AVENUE SCHOOL,"855 TOOKER AVE, WEST BABYLON, NY 11704",363054004104
WEST BABYLON JUNIOR HIGH SCHOOL,"200 OLD FARMINGDALE RD, WEST BABYLON, NY 11704",363054004105
WEST BABYLON SENIOR HIGH SCHOOL,"500 GREAT E NECK RD, WEST BABYLON, NY 11704",363054004106
WEST CANADA VALLEY ELEMENTARY SCHOOL,"5447 STATE RT 28, NEWPORT, NY 13416",363060004108
WEST CANADA VALLEY JUNIOR-SENIOR HIGH SCHOOL,"5447 STATE RT 28, NEWPORT, NY 13416",363060004109
CAMILLUS MIDDLE SCHOOL,"5525 IKE DIXON RD, CAMILLUS, NY 13031",363063004111
EAST HILL ELEMENTARY SCHOOL,"401 BLACKMORE RD, CAMILLUS, NY 13031",363063004112
ONONDAGA ROAD ELEMENTARY SCHOOL,"703 ONONDAGA RD, SYRACUSE, NY 13219",363063004114
SPLIT ROCK ELEMENTARY SCHOOL,"4151 SPLIT ROCK RD, CAMILLUS, NY 13031",363063004115
STONEHEDGE ELEMENTARY SCHOOL,"400 SANDERSON DR, CAMILLUS, NY 13031",363063004116
WEST GENESEE MIDDLE SCHOOL,"500 SANDERSON DR, CAMILLUS, NY 13031",363063004118
WEST GENESEE SENIOR HIGH SCHOOL,"5201 W GENESEE ST, CAMILLUS, NY 13031",363063004119
WEST HEMPSTEAD MIDDLE SCHOOL,"450 NASSAU BLVD, WEST HEMPSTEAD, NY 11552",363066000501
CORNWELL AVENUE SCHOOL,"250 CORNWELL AVE, WEST HEMPSTEAD, NY 11552",363066004121
GEORGE WASHINGTON SCHOOL,"347 WILLIAM ST, WEST HEMPSTEAD, NY 11552",363066004122
WEST HEMPSTEAD HIGH SCHOOL,"400 NASSAU BLVD, WEST HEMPSTEAD, NY 11552",363066004124
CHESTNUT STREET SCHOOL,"252 CHESTNUT ST, WEST HEMPSTEAD, NY 11552",363066004867
BAYVIEW ELEMENTARY SCHOOL,"165 SNEDECOR AVE, WEST ISLIP, NY 11795",363069004125
BEACH STREET MIDDLE SCHOOL,"17 BEACH ST, WEST ISLIP, NY 11795",363069004126
MANETUCK ELEMENTARY SCHOOL,"800 VAN BUREN AVE, WEST ISLIP, NY 11795",363069004129
OQUENOCK ELEMENTARY SCHOOL,"425 SPRUCE AVE, WEST ISLIP, NY 11795",363069004130
PAUL J BELLEW ELEMENTARY SCHOOL,"25 HIGBIE LN, WEST ISLIP, NY 11795",363069004131
UDALL ROAD MIDDLE SCHOOL,"900 UDALL RD, WEST ISLIP, NY 11795",363069004134
WEST ISLIP SENIOR HIGH SCHOOL,"1 LION'S PATH, WEST ISLIP, NY 11795",363069004135
ALLENDALE ELEMENTARY SCHOOL,"1399 ORCHARD PARK RD, WEST SENECA, NY 14224",363078004140
CLINTON ELEMENTARY SCHOOL,"4100 CLINTON ST, WEST SENECA, NY 14224",363078004142
EAST MIDDLE SCHOOL,"1445 CENTER RD, WEST SENECA, NY 14224",363078004144
NORTHWOOD ELEMENTARY SCHOOL,"250 NORTHWOOD AVE, WEST SENECA, NY 14224",363078004147
WEST SENECA EAST SENIOR HIGH SCHOOL,"4760 SENECA ST, WEST SENECA, NY 14224",363078004149
WEST MIDDLE SCHOOL,"395 CENTER RD, WEST SENECA, NY 14224",363078004150
WEST SENECA WEST SENIOR HIGH SCHOOL,"3330 SENECA ST, WEST SENECA, NY 14224",363078004151
WINCHESTER ELEMENTARY SCHOOL,"650 HARLEM RD, WEST SENECA, NY 14224",363078004152
WEST ELEMENTARY SCHOOL,"1397 ORCHARD PARK RD, WEST SENECA, NY 14224",363078004754
WEST VALLEY CENTRAL SCHOOL,"5359 SCHOOL ST, WEST VALLEY, NY 14171",363090004153
MOUNT MARKHAM ELEMENTARY SCHOOL,"500 FAIRGROUND RD, WEST WINFIELD, NY 13491",363093004154
MOUNT MARKHAM MIDDLE SCHOOL,"500 FAIRGROUND RD, WEST WINFIELD, NY 13491",363093004155
MOUNT MARKHAM SENIOR HIGH SCHOOL,"500 FAIRGROUND RD, WEST WINFIELD, NY 13491",363093004156
DRYDEN STREET SCHOOL,"545 DRYDEN ST, WESTBURY, NY 11590",363096002842
DREXEL AVENUE SCHOOL,"161 DREXEL AVE, WESTBURY, NY 11590",363096004157
PARK AVENUE SCHOOL,"955 PARK AVE, WESTBURY, NY 11590",363096004159
POWELLS LANE SCHOOL,"603 POWELLS LN, WESTBURY, NY 11590",363096004160
WESTBURY MIDDLE SCHOOL,"455 ROCKLAND ST, WESTBURY, NY 11590",363096004161
WESTBURY HIGH SCHOOL,"1 POST RD, OLD WESTBURY, NY 11568",363096004162
NASSAU CO JUVENILE DETENTION CENTER,"61 CARMAN AVE, WESTBURY, NY 11590",363096006494
WESTFIELD MIDDLE SCHOOL,"203 E MAIN ST, WESTFIELD, NY 14787",363099003239
WESTFIELD ELEMENTARY SCHOOL,"203 E MAIN ST, WESTFIELD, NY 14787",363099004163
WESTFIELD HIGH SCHOOL,"203 E MAIN ST, WESTFIELD, NY 14787",363099004164
WESTHAMPTON BEACH ELEMENTARY SCHOOL,"379 MILL RD, WESTHAMPTON BEACH, NY 11978",363102004165
WESTHAMPTON BEACH SENIOR HIGH SCHOOL,"49 LILAC RD, WESTHAMPTON BEACH, NY 11978",363102004166
WESTHAMPTON MIDDLE SCHOOL,"340 MILL RD, WESTHAMPTON BEACH, NY 11978",363102004167
WESTMORELAND MIDDLE SCHOOL,"5176 RT 233, WESTMORELAND, NY 13490",363105001417
WESTMORELAND ELEMENTARY SCHOOL,"5176 RT 233, WESTMORELAND, NY 13490",363105004168
WESTMORELAND HIGH SCHOOL,"5176 RT 233, WESTMORELAND, NY 13490",363105004169
WESTPORT CENTRAL SCHOOL,"25 SISCO ST, WESTPORT, NY 12993",363108004170
T J CONNOR ELEMENTARY SCHOOL,"13 BECKWITH AVE, SCOTTSVILLE, NY 14546",363117004171
WHEATLAND-CHILI HIGH SCHOOL,"940 NORTH RD, SCOTTSVILLE, NY 14546",363117004172
WHEELERVILLE SCHOOL,"2417 STATE HWY 10, CAROGA LAKE, NY 12032",363120004173
WHITE PLAINS MIDDLE SCHOOL,"128 GRANDVIEW AVE, WHITE PLAINS, NY 10605",363126004177
GEORGE WASHINGTON SCHOOL,"100 ORCHARD ST, WHITE PLAINS, NY 10604",363126004179
MAMARONECK AVENUE SCHOOL,"7 NOSBAND AVE, WHITE PLAINS, NY 10605",363126004181
POST ROAD SCHOOL,"175 W POST RD, WHITE PLAINS, NY 10606",363126004184
RIDGEWAY SCHOOL,"225 RIDGEWAY, WHITE PLAINS, NY 10605",363126004185
WHITE PLAINS SENIOR HIGH SCHOOL,"550 NORTH ST, WHITE PLAINS, NY 10605",363126004188
CHURCH STREET SCHOOL,"295 CHURCH ST, WHITE PLAINS, NY 10603",363126004755
WHITEHALL ELEMENTARY SCHOOL,"99 BUCKLEY RD, WHITEHALL, NY 12887",363129004189
WHITEHALL JUNIOR-SENIOR HIGH SCHOOL,"87 BUCKLEY RD, WHITEHALL, NY 12887",363129004190
DEERFIELD ELEMENTARY SCHOOL,"5604 TRENTON RD, UTICA, NY 13502",363132004191
HARTS HILL SCHOOL,"8551 CLARK MILLS RD, WHITESBORO, NY 13492",363132004192
MARCY ELEMENTARY SCHOOL,"9479 MAYNARD DR, MARCY, NY 13403",363132004193
PARKWAY MIDDLE SCHOOL,"65 ORISKANY BLVD, WHITESBORO, NY 13492",363132004194
WESTMORELAND ROAD ELEMENTARY SCHOOL,"8596 WESTMORELAND RD, WHITESBORO, NY 13492",363132004195
WHITESBORO MIDDLE SCHOOL,"75 ORISKANY BLVD, WHITESBORO, NY 13492",363132004196
WHITESBORO HIGH SCHOOL,"6000 NY-291, MARCY, NY 13403",363132004197
WHITESVILLE CENTRAL SCHOOL,"692 MAIN ST, WHITESVILLE, NY 14897",363135004575
CARYL E ADAMS PRIMARY SCHOOL,"24 KEIBEL RD, WHITNEY POINT, NY 13862",363138004199
TIOUGHNIOGA RIVERSIDE ACADEMY,"2887 NY RT 11, WHITNEY POINT, NY 13862",363138004201
WHITNEY POINT SENIOR HIGH SCHOOL,"10 KEIBEL RD, WHITNEY POINT, NY 13862",363138004202
NORTH GREENBUSH SCHOOL,"49 N GREENBUSH RD, TROY, NY 12180",363141004203
WILLIAMSON MIDDLE SCHOOL,"4184 MILLER ST, WILLIAMSON, NY 14589",363144004204
WILLIAMSON ELEMENTARY SCHOOL,"6036 HIGHLAND AVE, WILLIAMSON, NY 14589",363144004205
WILLIAMSON SENIOR HIGH SCHOOL,"5891 RT 21, WILLIAMSON, NY 14589",363144004206
TRANSIT MIDDLE SCHOOL,"8730 TRANSIT RD, EAST AMHERST, NY 14051",363147000457
COUNTRY PARKWAY ELEMENTARY SCHOOL,"35 HOLLYBROOK DR, WILLIAMSVILLE, NY 14221",363147004209
DODGE ELEMENTARY SCHOOL,"1900 DODGE RD, EAST AMHERST, NY 14051",363147004210
FOREST ELEMENTARY SCHOOL,"250 N FOREST RD, WILLIAMSVILLE, NY 14221",363147004211
HEIM ELEMENTARY SCHOOL,"155 HEIM RD, WILLIAMSVILLE, NY 14221",363147004212
HEIM MIDDLE SCHOOL,"175 HEIM RD, WILLIAMSVILLE, NY 14221",363147004213
MAPLE EAST ELEMENTARY SCHOOL,"1500 MAPLE RD, WILLIAMSVILLE, NY 14221",363147004214
MAPLE WEST ELEMENTARY SCHOOL,"851 MAPLE RD, WILLIAMSVILLE, NY 14221",363147004215
MILL MIDDLE SCHOOL,"505 MILL ST, WILLIAMSVILLE, NY 14221",363147004216
WILLIAMSVILLE EAST HIGH SCHOOL,"151 PARADISE RD, EAST AMHERST, NY 14051",363147004217
WILLIAMSVILLE NORTH HIGH SCHOOL,"1595 HOPKINS RD, WILLIAMSVILLE, NY 14221",363147004218
WILLIAMSVILLE SOUTH HIGH SCHOOL,"5950 MAIN ST, WILLIAMSVILLE, NY 14221",363147004219
CASEY MIDDLE SCHOOL,"105 CASEY RD, EAST AMHERST, NY 14051",363147004756
WILLSBORO CENTRAL SCHOOL,"29 SCHOOL LN, WILLSBORO, NY 12996",363150004220
WILSON ELEMENTARY SCHOOL,"430 YOUNG ST, WILSON, NY 14172",363156004221
WILSON HIGH SCHOOL,"374-80 LAKE ST, WILSON, NY 14172",363156004223
WINDHAM ASHLAND CENTRAL SCHOOL,"5411 STATE RT 23, WINDHAM, NY 12496",363159004225
FRANKLIN EARLY CHILDHOOD CENTER,"1180 HENRIETTA PL, HEWLETT, NY 11557",363171004226
GEORGE W HEWLETT HIGH SCHOOL,"60 EVERIT AVE, HEWLETT, NY 11557",363171004227
HEWLETT ELEMENTARY SCHOOL,"1570 BROADWAY, HEWLETT, NY 11557",363171004228
OGDEN ELEMENTARY SCHOOL,"875 LONGVIEW AVE, VALLEY STREAM, NY 11581",363171004229
WOODMERE MIDDLE SCHOOL,"1170 PENINSULA BLVD, HEWLETT, NY 11557",363171004230
WORCESTER SCHOOL,"198 MAIN ST, WORCESTER, NY 12197",363174004232
MARTIN LUTHER KING ELEMENTARY SCHOOL,"792 MOUNT AVE, WYANDANCH, NY 11798",363180004234
MILTON L OLIVE MIDDLE SCHOOL,"140 GARDEN CITY AVE, WYANDANCH, NY 11798",363180004235
WYANDANCH MEMORIAL HIGH SCHOOL,"54 S 32ND ST, WYANDANCH, NY 11798",363180004237
LA FRANCIS HARDIMAN ELEMENTARY SCHOOL,"792 MOUNT AVE, WYANDANCH, NY 11798",363180005838
GARDNER-DICKINSON SCHOOL,"25 EAST AVE, WYNANTSKILL, NY 12198",363183004238
WYOMING CENTRAL SCHOOL,"1225 RT 19, WYOMING, NY 14591",363186004240
RIVERSIDE HIGH SCHOOL,"565 WARBURTON AVE, YONKERS, NY 10701",363192000448
ROBERT C DODSON SCHOOL,"105 AVONDALE RD, YONKERS, NY 10710",363192000452
FAMILY SCHOOL 32,"1 MONTCLAIR PL, YONKERS, NY 10710",363192001077
MONTESSORI SCHOOL 31,"7 RAVENSWOOD RD, YONKERS, NY 10710",363192001527
WILLIAM BOYCE THOMPSON SCHOOL,"1061 N BROADWAY, YONKERS, NY 10701",363192001920
PAIDEIA SCHOOL 24,"50 COLIN ST, YONKERS, NY 10701",363192002802
PAIDEIA SCHOOL 15,"175 WESTCHESTER AVE, YONKERS, NY 10707",363192003452
ENRICO FERMI SCHOOL FOR THE PERFORMING ARTS,"27 POPLAR ST, YONKERS, NY 10701",363192004242
GORTON HIGH SCHOOL,"100 SHONNARD PL, YONKERS, NY 10703",363192004243
LINCOLN HIGH SCHOOL,"375 KNEELAND AVE, YONKERS, NY 10704",363192004245
YONKERS MONTESSORI ACADEMY,"160 WOODLAWN AVE, YONKERS, NY 10704",363192004247
MLK JR HIGH TECH & COMPUTER MAGNET SCHOOL,"135 LOCUST HILL AVE, YONKERS, NY 10701",363192004248
CROSS HILL ACADEMY,"160 BOLMER AVE, YONKERS, NY 10703",363192004249
ROOSEVELT HIGH SCHOOL - EARLY COLLEGE STUDIES,"631 TUCKAHOE RD, YONKERS, NY 10710",363192004250
SAUNDERS TRADES & TECHNICAL HIGH SCHOOL,"183 PALMER RD, YONKERS, NY 10701",363192004251
SCHOOL 5,"118 LOCKWOOD AVE, YONKERS, NY 10701",363192004252
PATRICIA A DICHIARO SCHOOL,"373 BRONXVILLE RD, YONKERS, NY 10708",363192004254
SCHOOL 9,"53 FAIRVIEW ST, YONKERS, NY 10703",363192004255
SCHOOL 13,"195 MCLEAN AVE, YONKERS, NY 10705",363192004258
ROSMARIE ANN SIRAGUSA SCHOOL,"60 CRESCENT PL, YONKERS, NY 10704",363192004259
SCHOOL 16,"759 N BROADWAY, YONKERS, NY 10701",363192004260
SCHOOL 17,"745 MIDLAND AVE, YONKERS, NY 10704",363192004261
SCHOLASTIC ACADEMY FOR ACADEMIC EXCELLENCE,"77 PARK HILL AVE, YONKERS, NY 10701",363192004262
EUGENIO MARIA DE HOSTOS MICROSOCIETY SCHOOL,"75 MORRIS ST, YONKERS, NY 10705",363192004263
SCHOOL 21,"100 LEE AVE, YONKERS, NY 10705",363192004264
SCHOOL 22,"1408 NEPPERHAN AVE, YONKERS, NY 10703",363192004265
SCHOOL 23,"56 VAN CRTLND PRK AV, YONKERS, NY 10701",363192004266
MUSEUM SCHOOL 25,"579 WARBURTON AVE, YONKERS, NY 10701",363192004267
CASIMIR PULASKI SCHOOL,"150 KINGS CROSS, YONKERS, NY 10583",363192004268
MONTESSORI SCHOOL 27,"132 VALENTINE LN, YONKERS, NY 10705",363192004269
KAHLIL GIBRAN SCHOOL,"18 ROSEDALE RD, YONKERS, NY 10710",363192004270
SCHOOL 29,"47 CROYDON RD, YONKERS, NY 10710",363192004271
SCHOOL 30,"30 NEVADA PL, YONKERS, NY 10708",363192004272
PEARLS HAWTHORNE SCHOOL,"350 HAWTHORNE AVE, YONKERS, NY 10705",363192004539
YONKERS HIGH SCHOOL,"150 ROCKLAND AVE, YONKERS, NY 10705",363192004574
CEDAR PLACE ELEMENTARY SCHOOL,"20 CEDAR PL, YONKERS, NY 10705",363192004853
YONKERS MIDDLE SCHOOL,"150 ROCKLAND AVE, YONKERS, NY 10705",363192005591
PALISADE PREPARATORY SCHOOL,"201 PALISADE AVE, YONKERS, NY 10701",363192006001
THOMAS CORNELL ACADEMY,"15 ST MARY'S PL, YONKERS, NY 10701",363192006281
YONKERS EARLY CHILDHOOD ACADEMY,"160 BOLMER AVE, YONKERS, NY 10703",363192006557
YORK CENTRAL ELEMENTARY SCHOOL,"2578 GENESEE ST, RETSOF, NY 14539",363195004278
YORK MIDDLE/HIGH SCHOOL,"2578 GENESEE ST, RETSOF, NY 14539",363195004279
BROOKSIDE SCHOOL,"2285 BROAD ST, YORKTOWN HEIGHTS, NY 10598",363198004280
CROMPOND SCHOOL,"2901 MANOR ST, YORKTOWN HEIGHTS, NY 10598",363198004281
MILDRED E STRANG MIDDLE SCHOOL,"2701 CROMPOND RD, YORKTOWN HEIGHTS, NY 10598",363198004282
MOHANSIC SCHOOL,"704 LOCKSLEY RD, YORKTOWN HEIGHTS, NY 10598",363198004283
YORKTOWN HIGH SCHOOL,"2727 CROMPOND RD, YORKTOWN HEIGHTS, NY 10598",363198004284
CUBA-RUSHFORD HIGH SCHOOL,"5476 RT 305 N, CUBA, NY 14727",363201000050
CUBA-RUSHFORD ELEMENTARY SCHOOL,"15 ELM ST, CUBA, NY 14727",363201000051
CUBA-RUSHFORD MIDDLE SCHOOL,"5476 RT 305 N, CUBA, NY 14727",363201004855
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,"900 WATERVLIET-SHAKER RD-STE 102, ALBANY, NY 12205",368010004624
BROOME-DELAWARE-TIOGA BOCES,"435 GLENWOOD RD, BINGHAMTON, NY 13905",368014004625
CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES,"1825 WINDFALL RD, OLEAN, NY 14760",368015004626
CAYUGA-ONONDAGA BOCES,"1879 W GENESEE ST RD, AUBURN, NY 13021",368018004627
CLINTON-ESSEX-WARREN-WASHINGTON BOCES,"1585 MILITARY TURNPIKE, PLATTSBURGH, NY 12901",368022004628
DELAWARE-CHENANGO-MADISON-OTSEGO BOCES,"6678 COUNTY RD 32, NORWICH, NY 13815",368026004629
DUTCHESS BOCES,"5 BOCES RD, POUGHKEEPSIE, NY 12601",368028004630
ERIE 1 BOCES,"355 HARLEM RD, WEST SENECA, NY 14224",368030004631
ERIE 2-CHAUTAUQUA-CATTARAUGUS BOCES,"8685 ERIE RD, ANGOLA, NY 14006",368032004632
FRANKLIN-ESSEX-HAMILTON BOCES,"23 HUSKIE LANE, MALONE, NY 12953",368034004633
OTSEGO-DELAWARE-SCHOHARIE-GREENE BOCES,"2020 JUMP BROOK RD, GRAND GORGE, NY 12434",368038004635
HAMILTON-FULTON-MONTGOMERY BOCES,"2755 STATE HWY 67, JOHNSTOWN, NY 12095",368040004636
HERKIMER-FULTON-HAMILTON-OTSEGO BOCES,"352 GROS BLVD, HERKIMER, NY 13350",368042004637
JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES,"20104 STATE RTE 3, WATERTOWN, NY 13601",368044004638
GENESEE VALLEY BOCES,"80 MUNSON ST, LE ROY, NY 14482",368046004639
MADISON-ONEIDA BOCES,"4937 SPRING RD, VERONA, NY 13478",368048004640
MONROE 1 BOCES,"41 O'CONNOR RD, FAIRPORT, NY 14450",368050004641
MONROE 2-ORLEANS BOCES,"3599 BIG RIDGE RD, SPENCERPORT, NY 14559",368052004642
NASSAU BOCES,"71 CLINTON RD, GARDEN CITY, NY 11530",368054004643
ONEIDA-HERKIMER-MADISON BOCES,"4747 MIDDLE STTLMNT RD, NEW HARTFORD, NY 13413",368056004644
ONONDAGA-CORTLAND-MADISON BOCES,"6820 THOMPSON RD, SYRACUSE, NY 13221",368058004645
ONTARIO-SENECA-YATES-CAYUGA-WAYNE BOCES,"131 DRUMLIN CT, NEWARK, NY 14513",368060004646
ORANGE-ULSTER BOCES,"53 GIBSON RD, GOSHEN, NY 10924",368062004647
ORLEANS-NIAGARA BOCES,"4232 SHELBY BASIN RD, MEDINA, NY 14103",368064004648
OSWEGO BOCES,"179 COUNTY RTE 64, MEXICO, NY 13114",368066004649
PUTNAM-WESTCHESTER BOCES,"200 BOCES DR, YORKTOWN HEIGHTS, NY 10598",368068004650
RENSSELAER-COLUMBIA-GREENE BOCES,"10 EMPIRE STATE BLVD-2ND FL, CASTLETON, NY 12033",368070004651
TECH VALLEY HIGH SCHOOL,"246 TRICENTENNIAL DR, ALBANY, NY 12203",368070006512
ROCKLAND BOCES,"65 PARROTT RD, WEST NYACK, NY 10994",368072004652
SAINT LAWRENCE-LEWIS BOCES,"40 W MAIN ST, CANTON, NY 13617",368074004653
SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY BOCES,"9579 VOCATIONAL DR, PAINTED POST, NY 14870",368078004655
EASTERN SUFFOLK BOCES,"201 SUNRISE HWY, PATCHOGUE, NY 11772",368082004657
WESTERN SUFFOLK BOCES,"507 DEER PARK RD, DIX HILLS, NY 11746",368086004659
SULLIVAN BOCES,"6 WIERK AVE, LIBERTY, NY 12754",368088004660
TOMPKINS-SENECA-TIOGA BOCES,"555 WARREN RD, ITHACA, NY 14850",368090004661
ULSTER BOCES,"175 RTE 32 N, NEW PALTZ, NY 12561",368092004662
WASHINGTON-SARATOGA-WARREN-HAMILTON-ESSEX BOCES,"1153 BURGOYNE AVE-STE 2, FORT EDWARD, NY 12828",368094004663
WESTCHESTER BOCES,"17 BERKLEY DR, RYE BROOK, NY 10573",368096004664
Ashley Elementary,"810 Trainer Drive, Fayetteville, NC 28304",370001100394
Beaver Dam Elementary,"12059 Hwy 210 S, Roseboro, NC 28382",370001100395
Lillian Black Elementary,"125 S 3rd Street, Spring Lake, NC 28390",370001100396
Brentwood Elementary,"1115 Bingham Drive, Fayetteville, NC 28304",370001100397
Douglas Byrd Middle,"1616 Ireland Drive, Fayetteville, NC 28304",370001100399
Douglas Byrd High,"1624 Ireland Drive, Fayetteville, NC 28304",370001100400
Cape Fear High,"4762 Clinton Road, Fayetteville, NC 28301",370001100402
Elizabeth M Cashwell Elementary,"2970 Legion Road, Fayetteville, NC 28306",370001100403
Eastover-Central Elementary,"5174 Dunn Road, Eastover, NC 28312",370001100405
Anne Chesnutt Middle,"2121 Skibo Road, Fayetteville, NC 28314",370001100406
Cliffdale Elementary,"6450 Cliffdale Road, Fayetteville, NC 28304",370001100407
College Lakes Elementary,"4963 Rosehill Road, Fayetteville, NC 28311",370001100408
J W Coon Elementary,"905 Hope Mills Road, Fayetteville, NC 28304",370001100409
Cumberland Mills Elementary,"2576 Hope Mills Road, Fayetteville, NC 28306",370001100410
Cumberland Road Elementary,"2700 Cumberland Road, Fayetteville, NC 28306",370001100411
District No 7 Elementary,"5721 Smithfield Road, Wade, NC 28395",370001100412
Alderman Road Elementary,"2860 Alderman Road, Fayetteville, NC 28306",370001100414
Hope Mills Middle,"4975 Cameron Road, Hope Mills, NC 28348",370001100415
Ed V Baldwin Elementary,"4441 Legion Road, Hope Mills, NC 28348",370001100416
Lewis Chapel Middle,"2150 Skibo Road, Fayetteville, NC 28314",370001100417
Long Hill Elementary,"6490 Ramsey Street, Fayetteville, NC 28311",370001100418
Massey Hill Classical High,"1062 Southern Avenue, Fayetteville, NC 28306",370001100420
Mary McArthur Elementary,"3809 Village Drive, Fayetteville, NC 28304",370001100421
Montclair Elementary,"555 Glensford Drive, Fayetteville, NC 28314",370001100422
