SCH_NAME,ADDRESSES,NCESSCH
Green Valley Elementary School,"3200 Old Columbiana Rd, Hoover, AL 35226",10000701739
Gwin Elementary School,"1580 Patton Chapel Road, Hoover, AL 35226",10000701740
Ira F Simmons Middle School,"1575 Patton Chapel Road, Hoover, AL 35226",10000701741
Rocky Ridge Elementary School,"2876 Old Rocky Ridge Rd, Hoover, AL 35243",10000701742
Shades Mountain Elementary School,"2250 Sumpter St, Hoover, AL 35226",10000701743
Riverchase Elementary School,"1950 Old Montgomery Highway, Hoover, AL 35244",10000702091
Brocks Gap Intermediate School,"1730 Lake Cyrus Club Drive, Hoover, AL 35244",10000702186
Crossroads School,"1085 Buccaneer Drive, Hoover, AL 35244",10000702359
Horizon Elementary School,"7855 Old Madison Pike, Madison, AL 35758",10000800303
Discovery Middle School,"1304 Hughes Rd, Madison, AL 35758",10000800495
Bob Jones High School,"650 Hughes Rd, Madison, AL 35758",10000800831
Madison Elementary School,"17 College St, Madison, AL 35758",10000800839
West Madison Elementary School,"4976 Wall Triana Hwy, Madison, AL 35758",10000800851
Heritage Elementary School,"11775 County Line Rd, Madison, AL 35758",10000801423
Rainbow Elementary School,"50 Nance Rd, Madison, AL 35758",10000801485
Liberty Middle School,"281 Dock Murphy Dr, Madison, AL 35758",10000801798
Columbia Elementary School,"667 Balch Road, Madison, AL 35758",10000802097
Mill Creek Elementary School,"847 Mill Road, Madison, AL 35758",10000802133
James Clemens High School,"11306 County Line Road, Madison, AL 35756",10000802198
Leeds Elementary School,"950 Ashville Road, Leeds, AL 35094",10001102094
Leeds Middle School,"1771 Whitmire Street, Leeds, AL 35094",10001102095
Leeds High School,"1500 Greenwave Drive, Leeds, AL 35094",10001102096
Leeds Primary School,"991 Park Drive, Leeds, AL 35094",10001102430
Boaz Middle School,"140 Newt Parker Dr, Boaz, AL 35957",10001200123
Boaz High School,"907 Brown St, Boaz, AL 35957",10001200874
Corley Elementary School,"505 Mount Vernon Rd, Boaz, AL 35957",10001200884
Boaz Intermediate School,"11 Newt Parker Drive, Boaz, AL 35957",10001201630
Boaz Elementary School,"362 Collier St, Boaz, AL 35957",10001201781
HewittTrussville Middle School,"5275 Trussville Clay Road, Trussville, AL 35173",10001300714
Paine Elementary School,"7600 Gadsden Highway, Trussville, AL 35173",10001301498
HewittTrussville High School,"6450 Husky Parkway, Trussville, AL 35173",10001301682
Magnolia Elementary School,"5400 Hidden Way Lane, Trussville, AL 35173",10001302401
Cahaba Elementary School,"301 Parkway Drive, Trussville, AL 35173",10001302402
Alexander City Middle School,"359 State St, Alexander City, AL 35010",10003000001
Benjamin Russell High School,"225 Heard Blvd, Alexander City, AL 35010",10003000003
Jim Pearson Elementary School,"1240 Scott Rd, Alexander City, AL 35010",10003000004
Nathaniel H Stephens Elementary School,"851 Laurel St, Alexander City, AL 35010",10003000005
William L Radney Elementary School,"140 Allison Drive, Alexander City, AL 35010",10003000006
Andalusia High School,"701 Third St, Andalusia, AL 36420",10006000007
Andalusia Junior High,"408 4th Avenue, Andalusia, AL 36420",10006000008
Andalusia Elementary School,"1501 West Bypass, Andalusia, AL 36420",10006001467
Anniston High School,"1301 Woodstock Ave, Anniston, AL 36207",10009000011
Golden Springs Elementary School,"100 Feary Dr, Anniston, AL 36207",10009000017
Randolph Park Elementary School,"2200 W 17th St, Anniston, AL 36201",10009000020
Tenth Street Elementary School,"1525 E 10th St, Anniston, AL 36207",10009000021
Anniston City Boot Camp School,"4804 McClellan Blvd, Anniston, AL 36206",10009001246
Anniston Middle School,"4800 McClellan Blvd, Anniston, AL 36206",10009001725
Cobb PreK Academy,"1325 Cobb Ave, Anniston, AL 36201",10009001782
Arab Elementary School,"241 8th Ave NE, Arab, AL 35016",10010000022
Arab Primary School,"121 Mimosa St NE, Arab, AL 35016",10010000025
Arab Junior High School,"911 Old Cullman Rd, Arab, AL 35016",10010000027
Arab High School,"511 Arabian Dr NE, Arab, AL 35016",10010000028
Athens Intermediate School,"1916 Us Hwy 72 W, Athens, AL 35611",10012000522
Athens Elementary School,"515 N Madison St, Athens, AL 35611",10012001471
Athens High School,"100 Highway 31 N, Athens, AL 35611",10012001472
Athens Middle School,"601 S Clinton St, Athens, AL 35611",10012001473
James L Cowart Elementary School,"1701 W Hobbs St, Athens, AL 35611",10012001474
Julian Newman Elementary School,"517 Julian Newman Dr, Athens, AL 35613",10012001475
Brookhill Elementary School,"320 Brookhill Dr, Athens, AL 35611",10012001758
Athens Renaissance School,"405 South Street East, Athens, AL 35611",10012002417
Etowah High School,"201 Case Ave, Attalla, AL 35954",10018000033
Etowah Middle School,"316Jones Street, Attalla, AL 35954",10018000034
Attalla Elementary School,"300 Cullman Avenue, Attalla, AL 35954",10018000035
Saraland Middle SchoolAdams Campus,"401 Baldwin St, Saraland, AL 36571",10018500893
Saraland Elementary School,"229 McKeough Ave, Saraland, AL 36571",10018500952
Saraland High School,"1115 Industrial Parkway, Saraland, AL 36571",10018502137
Saraland Early Education Center,"4000 Lil Spartan Drive, Saraland, AL 36571",10018502427
Montgomery Childrens Specialty Center,"2853 Forbes Dr, Montgomery, AL 36110",10018702371
Chickasaw City Elementary School,"80 Grant Street, Chickasaw, AL 36611",10018802193
Chickasaw City High School,"50 12th Ave, Chickasaw, AL 36611",10018802194
Chickasaw Middle School,"50 Chieftain Way, Chickasaw, AL 36611",10018802428
Satsuma High School,"1 Gator Circle, Satsuma, AL 36572",10018902195
Robert E Lee Elementary,"251 Baker Rd, Satsuma, AL 36572",10018902196
Thompson Intermediate School,"10019 Highway 119, Alabaster, AL 35007",10019001182
Thompson High School,"100 Warrior Dr, Alabaster, AL 35007",10019001183
Thompson Middle School,"1509 Kent Dairy Road, Alabaster, AL 35007",10019001184
Meadow View  Elementary School,"2800 Smokey Rd, Alabaster, AL 35007",10019001460
Creek View Elementary School,"8568 Highway 17, Maylene, AL 35114",10019001815
Thompson Sixth Grade Center,"10111 Highway 119, Alabaster, AL 35007",10019002149
Pelham Oaks,"2200 Highway 33, Pelham, AL 35124",10019402395
Pelham Ridge,"251 Applegate Parkway, Pelham, AL 35124",10019402396
Pelham Park Middle School,"2016 Pelham Park Boulevard, Pelham, AL 35124",10019402398
Pelham High School,"2500 Panther Cir, Pelham, AL 35124",10019402399
Pike Road Elementary School,"500 Avenue of Learning, Pike Road, AL 36064",10019502407
Pike Road Historic School,"4710 Pike Road, Pike Road, AL 36064",10019502424
Acceleration Day and Evening Academy,"3100 Cottage Hill Rd, Mobile, AL 36606",10019702432
Auburn High School,"1701 E Samford Avenue, Auburn, AL 36830",10021000036
Auburn Junior High School,"405 S Dean Rd, Auburn, AL 36830",10021000037
Cary Woods Elementary School,"715 Sanders St, Auburn, AL 36830",10021000039
Dean Road Elementary School,"335 S Dean Rd, Auburn, AL 36830",10021000040
Drake Middle School,"655 Spencer Ave, Auburn, AL 36832",10021000041
Wrights Mill Road Elementary School,"807 Wrights Mill Rd, Auburn, AL 36830",10021000042
Auburn Early Education Center,"721 E University Dr, Auburn, AL 36830",10021000053
Ogletree Elementary School,"737 Ogletree Rd, Auburn, AL 36830",10021001254
Margaret Yarbrough Elementary School,"1555 N Donahue Dr, Auburn, AL 36830",10021001259
Richland Elementary School,"770 S Yarbrough Farms Boulevard, Auburn, AL 36830",10021001879
Pick Elementary School,"1320 N College St, Auburn, AL 36830",10021002363
East Samford School,"332 E Samford Avenue, Auburn, AL 36830",10021002440
Billingsley High School,"2446 County Road 77, Billingsley, AL 36006",10024000045
Marbury High School,"2360 Highway 31 North, Deatsville, AL 36022",10024000046
Prattville Elementary School,"134 Patrick St, Prattville, AL 36067",10024000047
Prattville High School,"1315 Upper Kingston Rd, Prattville, AL 36067",10024000048
Prattville Junior High School,"1089 N Chestnut, Prattville, AL 36067",10024000049
Prattville Intermediate School,"1020 Honeysuckle Dr, Prattville, AL 36067",10024000050
Prattville Primary School,"216 Wetumpka St, Prattville, AL 36067",10024000051
Pine Level Elementary School,"2040 Highway 31 N, Deatsville, AL 36022",10024000543
Daniel Pratt Elementary School,"420 Harvest Loop, Prattville, AL 36066",10024000546
Autauga County Alternative School,"816 Cardinal Ln, Prattville, AL 36067",10024000587
Autauga County Technology Center,"1301 Upper Kingston Rd, Prattville, AL 36067",10024000590
Autaugaville School,"2708 Dutch Bend St, Autaugaville, AL 36003",10024001408
Louise M Smith Development Center,"298 Jay Street, Prattville, AL 36066",10024001550
Prattville Kindergarten School,"338 1st St, Prattville, AL 36067",10024001639
Marbury Middle School,"210 County Road 20 East, Marbury, AL 36051",10024002159
Daphne Middle School,"One Jody Davis Cir, Daphne, AL 36526",10027000013
Gulf Shores Middle School,"450 E 15th Ave, Gulf Shores, AL 36542",10027000023
Robertsdale High School,"21630 Highway 59 South, Robertsdale, AL 36567",10027000024
W J Carroll Intermediate School,"1000 Main St, Daphne, AL 36526",10027000056
Elberta High School,"13355main Street, Elberta, AL 36530",10027000057
Elsanor School,"23440 US Highway 90, Robertsdale, AL 36567",10027000058
Fairhope Middle School,"Two Pirate Drive, Fairhope, AL 36532",10027000059
Foley Middle School,"200 N Oak St, Foley, AL 36535",10027000060
Perdido Elementary School,"23589 County Road 47, Perdido, AL 36562",10027000062
Rosinton School,"19757 County Road 64, Robertsdale, AL 36567",10027000065
Silverhill School,"15800 4th Ave, Silverhill, AL 36576",10027000066
Spanish Fort Elementary School,"30900 State Highway 225, Spanish Fort, AL 36527",10027000067
Stapleton School,"35480 Harriot Avestap, Stapleton, AL 36578",10027000068
Summerdale School,"400 E Broadway, Summerdale, AL 36580",10027000069
Swift Elementary School,"6330 Bon Secour Hwy, Bon Secour, AL 36511",10027000070
Fairhope High School,"18800 Greeno Rd, Fairhope, AL 36532",10027000100
Central Baldwin Middle School,"24545 State Highway 59, Robertsdale, AL 36576",10027000162
Orange Beach Elementary School,"4900 Wilson Blvd, Orange Beach, AL 36561",10027000549
Rockwell Elementary School,"10183 US Highway 31, Spanish Fort, AL 36527",10027000550
Elberta Elementary School,"25820 Highway 98, Elberta, AL 36530",10027000625
Gulf Shores High School,"600 E 15th Ave, Gulf Shores, AL 36542",10027000641
Magnolia School,"1 Jaguar Loop, Foley, AL 36535",10027000648
J Larry Newton School,"9761 County Road 32, Fairhope, AL 36532",10027000660
North Baldwin Center For Technology,"505 Dr Martin Luther King Blvd, Bay Minette, AL 36507",10027000664
South Baldwin Center For Technology,"19200 Carolina Street, Robertsdale, AL 36567",10027000665
Gulf Shores Elementary School,"1600 East 3rd St, Gulf Shores, AL 36542",10027001477
Bay Minette Elementary School,"800 Blackburn Ave, Bay Minette, AL 36507",10027001708
Daphne Elementary School,"2307 Main St, Daphne, AL 36526",10027001709
Fairhope Intermediate School,"2 N Bishop Rd, Fairhope, AL 36532",10027001710
Fairhope Elementary School,"408 N Section Street, Fairhope, AL 36532",10027001711
Foley Elementary School,"450 N Cedar Street, Foley, AL 36535",10027001712
Foley Intermediate School,"2000 S Cedar St, Foley, AL 36535",10027001713
Loxley Elementary School,"4999 South Magnolia St, Loxley, AL 36551",10027001714
Pine Grove Elementary School,"43980 Pine Grove Rd, Bay Minette, AL 36507",10027001715
Robertsdale Elementary School,"1 Cub Drive, Robertsdale, AL 36567",10027001716
Daphne High School,"9300 Champions Way, Daphne, AL 36526",10027001759
Delta Elementary School,"10251 White House Fork Rd, Bay Minette, AL 36507",10027001783
Foley High School,"1 Pride Pl, Foley, AL 36535",10027001784
Baldwin County High School,"One Tiger Dr, Bay Minette, AL 36507",10027001810
Bay Minette Middle School,"1311 W 13th Street, Bay Minette, AL 36507",10027001859
Spanish Fort Middle School,"33899 Jimmy Faulkner Drive, Spanish Fort, AL 36527",10027001888
Daphne East Elementary School,"26651 County Road 13, Daphne, AL 36526",10027002072
Spanish Fort High School,"One Plaza De Toros, Spanish Fort, AL 36527",10027002073
CF Taylor Alternative School,"19150 Wilters Street, Robertsdale, AL 36567",10027002180
Baldwin County Virtual School,"450 Fairhope Avenue, Farihope, AL 36532",10027002443
Barbour County High School,"165 S Midway, Clayton, AL 36016",10030000074
Barbour County Primary School,"81 Victoria Street, Louisville, AL 36048",10030001478
Barbour County Intermediate School,"18 Beaty Drive, Louisville, AL 36048",10030001641
Greenwood Elementary School,"5012 Roselyn Road Southeast, Bessemer, AL 35022",10033000082
Charles F Hard Elementary School,"2801 Arlington Ave, Bessemer, AL 35020",10033000084
Bessemer City Middle School,"100 High School Drive, Bessemer, AL 35020",10033000086
Bessemer City High School,"4950 Premiere Parkway, Bessemer, AL 35022",10033000087
Jonesboro Elementary School,"125 Owen Ave, Bessemer, AL 35020",10033000088
Westhills Elementary School,"710 Glenn Rd, Bessemer, AL 35022",10033000090
New Horizon Alternative School,"1701 6th Ave N, Bessemer, AL 35020",10033001264
Bessemer Center For Technology,"4940 Premiere Parkway, Bessemer, AL 35022",10033001267
Abrams Elementary School,"1200 23rd Street N, Bessemer, AL 35020",10033001479
Bibb County High School,"220 Birmingham Rd, Centreville, AL 35042",10036000092
Centreville Middle School,"1621 Montgomery Hwy, Centreville, AL 35042",10036000094
Brent Elementary School,"160 4th Street, Brent, AL 35034",10036000095
Randolph Elementary School,"7259 Highway 36, Randolph, AL 36792",10036000096
West Blocton Elementary School,"828 Cahaba River Dr, West Blocton, AL 35184",10036000098
West Blocton High School,"4734 Truman Aldrich Parkway, West Blocton, AL 35184",10036000099
Bibb County Career Academy,"17191 Highway 5, West Blocton, AL 35184",10036000669
West Blocton Middle School,"4721 Truman Aldrich Pkwy, West Blocton, AL 35184",10036001426
Woodstock Elementary School,"19456 Eastern Valley Rd, Woodstock, AL 35188",10036001480
Engle Day Treatment,"2015 Park Place N, Birmingham, AL 35203",10039000079
Avondale Elementary School,"4000 8th Ct S, Birmingham, AL 35222",10039000103
Barrett Elementary School,"7601 Division Ave, Birmingham, AL 35206",10039000106
Charles A Brown Elementary School,"4811 Court J, Birmingham, AL 35208",10039000107
Bush K8,"1832 Center Way S, Birmingham, AL 35205",10039000108
Central Park Elementary School,"4915 Ave Q, Birmingham, AL 35208",10039000112
Christian School,"725 Mountain Dr, Birmingham, AL 35206",10039000113
Epic School,"1000 10th Ave S, Birmingham, AL 35205",10039000119
Oliver K5 School,"6871 6th Court S, Birmingham, AL 35212",10039000127
Green Acres Middle School,"1220 67th Street West, Birmingham, AL 35228",10039000133
Hemphill Elementary School,"714 12th Street SW, Birmingham, AL 35211",10039000136
Hudson KEight School,"3300 F L Shuttlesworth Dr, Birmingham, AL 35207",10039000139
Huffman Middle School,"517 Huffman Rd, Birmingham, AL 35215",10039000140
Huffman High SchoolMagnet,"900 Springville Rd, Birmingham, AL 35215",10039000141
Inglenook School,"4120 Inglenook Street, Birmingham, AL 35217",10039000142
Minor Elementary School,"2425 Ave SEnsley, Birmingham, AL 35218",10039000156
Norwood Elementary School,"3136 Norwood Blvd, Birmingham, AL 35234",10039000161
JacksonOlin High School,"1300 Avenue F Ensley, Birmingham, AL 35218",10039000164
Parker High School,"400 Abraham Woods Jr Blvd, Birmingham, AL 35204",10039000165
Princeton School,"1425 2nd Ave W, Birmingham, AL 35208",10039000174
WE Putnam Middle SchoolMagnet,"1757 Montclair Rd, Birmingham, AL 35210",10039000175
Ramsay High School,"1800 13th Ave S, Birmingham, AL 35205",10039000176
Robinson Elementary School,"8400 1st Ave S, Birmingham, AL 35206",10039000179
Smith Middle School,"1124 Five Mile Rd, Birmingham, AL 35215",10039000184
Tuggle Elementary School,"412 12th Ct N, Birmingham, AL 35204",10039000187
Washington Elementary School,"115 Fourth Avenue South, Birmingham, AL 35205",10039000190
Jones Valley Middle School,"2000 31st Street SW, Birmingham, AL 35221",10039000191
Wenonah High School,"2800 Wilson Rd SW, Birmingham, AL 35221",10039000192
Wilkerson Middle School,"116 11th Ct W, Birmingham, AL 35204",10039000196
Woodlawn High SchoolMagnet,"5620 First Ave N, Birmingham, AL 35212",10039000198
Wylam K8,"701 Erie Street, Birmingham, AL 35224",10039000201
Family Court Elementary School,"120 2nd Court N, Birmingham, AL 35204",10039000530
City Elementary,"901 9th Avenue North, Birmingham, AL 35204",10039001270
Dupuy Alternative School,"4500 14th Ave N, Birmingham, AL 35212",10039001288
Adolescent Day Treatment,"2015 Park Place N, Birmingham, AL 35203",10039001296
South Hampton K8,"565 Sheridan Rd Pratt City, Birmingham, AL 35214",10039001421
Martha Gaskins K5,"200 Dalton Drive, Birmingham, AL 35215",10039001446
George Washington Carver High School,"3900 24th St N, Birmingham, AL 35207",10039001468
Glen Iris Elementary School,"1115 11th Street South, Birmingham, AL 35205",10039001484
Arrington Middle School,"2101 Jefferson Ave SW, Birmingham, AL 35211",10039001649
Family Court High School,"120 2nd Court N, Birmingham, AL 35204",10039001761
Sun Valley Elementary School,"1010 18th Ave NW, Birmingham, AL 35215",10039001762
Homebound Elementary School,"2015 Park Place, Birmingham, AL 35203",10039001764
Homebound High School,"2015 Park Place N, Birmingham, AL 35203",10039001765
Ossie Ware Mitchell Middle School,"501 81st Street South, Birmingham, AL 35206",10039001823
Phillips Academy,"2316 7th Avenue North, Birmingham, AL 35203",10039001878
Huffman Academy,"1212 Cheyenne Boulevard, Birmingham, AL 35215",10039002185
West End Academy,"1840 Pearson Avenue SW, Birmingham, AL 35211",10039002187
Bush Hills Academy,"900 16th Street West, Birmingham, AL 35208",10039002204
Hayes K8,"505 43rd Street North, Birmingham, AL 35222",10039002206
Oxmoor K5,"3600 Sydney Drive, Birmingham, AL 35211",10039002354
Hayden Elementary School,"4111 State Highway 160, Hayden, AL 35079",10042000101
Appalachian  School,"350 County Highway 12, Oneonta, AL 35121",10042000203
Blountsville Elementary School,"260 Page St, Blountsville, AL 35031",10042000205
Cleveland High School,"71 High School St, Cleveland, AL 35049",10042000206
Hayden Primary School,"160 Bracken Ln, Hayden, AL 35079",10042000207
Hayden High School,"125 Atwood Road, Hayden, AL 35079",10042000208
JB Pennington High School,"81 College St, Blountsville, AL 35031",10042000209
Locust Fork High School,"77 School Rd, Locust Fork, AL 35097",10042000210
Southeastern School,"18770 State Highway 75, Remlap, AL 35133",10042000211
Susan Moore High School,"4040 Susan Moore Rd, Blountsville, AL 35031",10042000213
Allgood Alternative School,"45 Community Rd, Oneonta, AL 35121",10042000670
Blount County Learning Center,"189 Horton Ln, Cleveland, AL 35049",10042000676
Blount County Career Technical Center,"61500 US Highway 231, Cleveland, AL 35049",10042000682
Locust Fork Elementary,"155 School Rd, Locust Fork, AL 35097",10042001427
Cleveland Elementary School,"115 Stadium Dr, Cleveland, AL 35049",10042001476
Susan Moore Elementary School,"3996 Susan Moore Rd, Blountsville, AL 35031",10042001481
Hayden Middle School,"310 Second Avenue, Hayden, AL 35079",10042001870
Brewton Elementary School,"901 Douglas Ave, Brewton, AL 36426",10045000214
Brewton Middle School,"1384 Old Castleberry Road, Brewton, AL 36426",10045000215
TR Miller High School,"1835 Douglas Ave, Brewton, AL 36426",10045000216
Bullock County High School,"PO Box 5108, Union Springs, AL 36089",10048000218
South Highlands Middle School,"700 Bernard Street, Union Springs, AL 36089",10048000221
Union Springs Elementary School,"211 Conecuh Avenue West, Union Springs, AL 36089",10048000222
Bullock County Career Technical Center,"304 Blackmon Ave E, Union Springs, AL 36089",10048000688
Greenville High School,"100 Tiger Dr, Greenville, AL 36037",10051000226
Greenville Middle School,"300 Overlook Rd, Greenville, AL 36037",10051000228
McKenzie High School,"221 North Garland Road, McKenzie, AL 36456",10051000229
WO Parmer Elementary School,"100 Butler Circle, Greenville, AL 36037",10051000231
Butler County Area Vocational School,"211 School Highlands Road, Greenville, AL 36037",10051000690
Greenville Elementary School,"102 Butler Cir, Greenville, AL 36037",10051001482
Georgiana School,"866 Highway 31 South, Georgiana, AL 36033",10051002144
Alexandria High School,"353 Stadium Dr, Alexandria, AL 36250",10054000232
Ohatchee High School,"100 Cherokee Trl, Ohatchee, AL 36271",10054000240
Saks Elementary School,"31 Watson, Anniston, AL 36206",10054000242
Saks High School,"4401 Saks Rd, Anniston, AL 36206",10054000243
Saks Middle School,"32 Watson Street, Anniston, AL 36206",10054000244
Weaver Elementary School,"444 School Dr, Weaver, AL 36277",10054000246
Weaver High School,"917 Clairmont Dr, Weaver, AL 36277",10054000247
Wellborn Elementary School,"525 Cooper Cir, Anniston, AL 36201",10054000249
White Plains High School,"250 White Plains Rd, Anniston, AL 36207",10054000250
Calhoun County Alternative School,"1200 Church Avenue SE, Jacksonville, AL 36265",10054000700
Calhoun County Career Technical Center,"1200 Church St SE, Jacksonville, AL 36265",10054000708
Ohatchee Elementary School,"365 J Street, Ohatchee, AL 36271",10054001428
Pleasant Valley Elementary School,"265 Mark Green Road, Jacksonville, AL 36265",10054001429
White Plains Elementary School,"5600 Alabama Hwy 9, Anniston, AL 36207",10054001430
Pleasant Valley High School,"4141 Pleasant Valley Rd, Jacksonville, AL 36265",10054001488
Wellborn High School,"135 Pinson Rd, Anniston, AL 36201",10054001489
Alexandria Elementary School,"2525 AlexandriaWellington Rd, Alexandria, AL 36250",10054001747
White Plains Middle School,"5800 Al Highway 9, Anniston, AL 36207",10054001884
Alexandria Middle School,"353 Stadium Dr, Alexandria, AL 36250",10054002429
Lafayette Eastside Elementary School,"300 Ave A SE, Lafayette, AL 36862",10060000256
Fairfax Elementary School,"502 Blvd, Valley, AL 36854",10060000257
Five Points Elementary School,"10180 County Road 222, Five Points, AL 36855",10060000259
Huguley Elementary School,"3011 Phillips Rd, Lanett, AL 36863",10060000260
Lafayette High School,"214 1st Ave SE, Lafayette, AL 36862",10060000263
Lafayette Lanier Elementary School,"6001 20th Ave, Valley, AL 36854",10060000264
Bob HardingShawmut Elementary,"3301 23rd Dr, Valley, AL 36854",10060000268
John P Powell Middle School,"700 Martin Luther King Drive, Lafayette, AL 36862",10060000269
Valley High School,"501 Highway 29, Valley, AL 36854",10060000271
W F Burns Middle School,"292 Johnson St, Valley, AL 36854",10060000272
Chambers County Career Technology Center,"Area Vocational Center Dr, Lafayette, AL 36862",10060000738
Cedar Bluff High School,"3655 Old Highway 9, Cedar Bluff, AL 35959",10063000274
Centre Elementary School,"725 E Main St, Centre, AL 35960",10063000275
Centre Middle School,"1920 East Main Street, Centre, AL 35960",10063000276
Cherokee County High School,"910 Warrior Dr, Centre, AL 35960",10063000278
Gaylesville High School,"760 Trojan Way, Gaylesville, AL 35973",10063000279
Sand Rock High School,"1950 Sand Rock Avenue, Sand Rock, AL 35983",10063000282
Spring Garden High School,"2430 County Road 29, Spring Garden, AL 36275",10063000283
Cherokee County Career Technology Center,"600 Bay Springs Rd, Centre, AL 35960",10063000741
Isabella High School,"11338 County Road 15, Maplesville, AL 36750",10066000261
Jemison High School,"25195 US Highway 31, Jemison, AL 35085",10066000262
Maplesville High School,"1256 AL Highway 139, Maplesville, AL 36750",10066000265
Thorsby High School,"54 Opportunity Dr, Thorsby, AL 35171",10066000270
Clanton Elementary School,"1000 Cloverleaf Dr, Clanton, AL 35045",10066000286
Clanton Middle School,"835 Temple Road, Clanton, AL 35045",10066000287
Verbena High School,"202 County Road 510, Verbena, AL 36091",10066000288
Jemison Middle School,"25095 US Hwy 31, Jemison, AL 35085",10066000745
W A Lecroy Career  Technical Center,"2829 4th Ave N, Clanton, AL 35045",10066000748
Clanton Intermediate School,"825 Temple Road, Clanton, AL 35045",10066001431
Chilton County High School,"1214 7th St S, Clanton, AL 35045",10066001491
Jemison Elementary School,"1495 County Road 44, Jemison, AL 35085",10066001657
Chilton County Alternative School,"102 1st Street, Clanton, AL 35045",10066002190
Jemison Intermediate School,"1491 County Road 44, Jemison, AL 35085",10066002437
Southern Choctaw Elementary School,"10935 Highway 17, Gilbertown, AL 36908",10069000182
Choctaw County High School,"277 Tom Orr Drive, Butler, AL 36904",10069000291
Southern Choctaw High School,"10941 Highway 17, Gilbertown, AL 36908",10069000297
Choctaw County Elementary,"201 Tom Orr Drive, Butler, AL 36904",10069001561
Clarke County High School,"151 S Church, Grove Hill, AL 36451",10072000298
Grove Hill Elementary School,"450 West Cobb Street, Grove Hill, AL 36451",10072000302
Jackson Middle School,"235 College Ave, Jackson, AL 36545",10072000304
Joe M Gillmore Elementary School,"133 Mayton Dr, Jackson, AL 36545",10072000305
Wilson Hall Middle School,"401 Carter Drive, Grove Hill, AL 36451",10072000306
Jackson Intermediate School,"2950 Highway 43, Jackson, AL 36545",10072001450
Jackson High School,"321 Stanley Dr, Jackson, AL 36545",10072001493
Ashland Elementary School,"223 3rd Street Sw, Ashland, AL 36251",10075000307
Lineville Elementary School,"18 West Main, Lineville, AL 36266",10075000312
Central Jr High School of Clay County,"1 Bob Riley Drive, Lineville, AL 36266",10075002205
Central High School of Clay County,"1 Bob Riley Drive, Lineville, AL 36266",10075002210
Cleburne County Elementary School,"584 Evans Bridge Rd, Heflin, AL 36264",10078000317
Cleburne County High School,"520 Evans Bridge Rd, Heflin, AL 36264",10078000318
Fruithurst Elementary School,"222 School St, Fruithurst, AL 36262",10078000319
Pleasant Grove Elementary School,"9855 Highway 9, Heflin, AL 36264",10078000320
Ranburne High School,"21045 Main St, Ranburne, AL 36273",10078000321
Cleburne County Career Technical School,"11200 Highway 46, Heflin, AL 36264",10078000768
Cleburne County Middle School,"661 Duke Drive, Heflin, AL 36264",10078001671
Ranburne Elementary School,"181 Young Dr, Ranburne, AL 36273",10078001726
Cleburne County Alternative School,"11200 Highway 46, Heflin, AL 36264",10078002361
Kinston School,"201 College Street, Kinston, AL 36453",10081000323
