#Script/Language Identifier zh
#Script/Language Description Chinese
#
Version 1 20120329
#
#This is the Chinese IDN Table for the proposed TLD.
#
#It was derived from the following sources:
#
#    IDN Character Table for CNNIC: http://www.iana.org/domains/idn-tables/tables/cn_zh-cn_4.0.html
#    IDN Character Table for TWNIC: http://www.iana.org/domains/idn-tables/tables/tw_zh-tw_4.0.1.html
#
#For each code point in the repertoire specified in the tables above, the preferred variants from each table are merged to yield both the traditional and simplified forms (if they differ). Similarly, the other variants from each table are merged.
#
#Format
#
#This table is an adaptation of the table format specified in RFC 3743. Columns are delimited by semicolon, in the form of:
#
#CODE POINT;CANONICAL CODE POINT;PREFERRED VARIANTS[;OTHER VARIANTS]
#
#The "CODE POINT" column specifies the code point available for registration.
#The "CANONICAL CODE POINT" column specifies an internal code point used for the efficient blocking of variant labels.
#The "PREFERRED VARIANTS" column lists the preferred variants that are related to the given code point in the first column.
#The "OTHER VARIANTS" column, if present, lists other variants that are related to the given code point in the first column.
#These preferred variants are separated by commas.
#Acknowledgements
#
#Donuts, Inc. would like to express its gratitude towards CNNIC and TWNIC for publishing their respective tables for the benefit of the community.
U+4E19;U+4E19;U+4E19	# ?;?;?;
U+4E1A;U+4E1A;U+4E1A,U+696D	# ?;?;?,?;
U+4E1B;U+4E1B;U+4E1B,U+53E2,U+6B09;U+85C2	# ?;?;?,?,?;?
U+4E1C;U+4E1C;U+4E1C,U+6771	# ?;?;?,?;
U+4E1D;U+4E1D;U+4E1D,U+7D72;U+7CF8,U+7CF9,U+7E9F	# ?;?;?,?;?,?,?
U+4E1E;U+4E1E;U+4E1E	# ?;?;?;
U+4E1F;U+4E22;U+4E22,U+4E1F	# ?;?;?,?;
U+4E20;U+4E18;U+4E18;U+5775	# ?;?;?;?
U+4E21;U+4E24;U+4E24,U+5169	# ?;?;?,?;
U+4E22;U+4E22;U+4E22,U+4E1F	# ?;?;?,?;
U+4E23;U+9149;U+9149	# ?;?;?;
U+4E24;U+4E24;U+4E24,U+5169;U+4E21	# ?;?;?,?;?
U+4E25;U+4E25;U+4E25,U+56B4;U+53B3	# ?;?;?,?;?
U+4E26;U+5E76;U+5E76,U+4E26;U+5002,U+4F75,U+7ADD,U+5E77	# ?;?;?,?;?,?,?,?
U+4E27;U+4E27;U+4E27,U+55AA	# ?;?;?,?;
U+4E28;U+4E28;U+4E28	# ?;?;?;
U+4E2A;U+4E2A;U+4E2A,U+500B;U+7B87	# ?;?;?,?;?
U+4E2B;U+4E2B;U+4E2B	# ?;?;?;
U+4E2C;U+4E2C;U+4E2C,U+723F	# ?;?;?,?;
U+4E2D;U+4E2D;U+4E2D	# ?;?;?;
U+4E2E;U+4E2E;U+4E2E	# ?;?;?;
U+4E2F;U+4E2F;U+4E2F	# ?;?;?;
U+4E30;U+4E30;U+4E30,U+8C50;U+8C4A	# ?;?;?,?;?
U+4E31;U+4E31;U+4E31	# ?;?;?;
U+4E32;U+4E32;U+4E32;U+8CD7	# ?;?;?;?
U+4E33;U+4E33;U+4E33	# ?;?;?;
U+4E34;U+4E34;U+4E34,U+81E8	# ?;?;?,?;
U+4E35;U+4E35;U+4E35	# ?;?;?;
U+4E36;U+4E36;U+4E36	# ?;?;?;
U+4E37;U+4E37;U+4E37	# ?;?;?;
U+4E38;U+4E38;U+4E38	# ?;?;?;
U+4E39;U+4E39;U+4E39	# ?;?;?;
U+4E3A;U+4E3A;U+4E3A,U+70BA;U+7232	# ?;?;?,?;?
U+4E3B;U+4E3B;U+4E3B	# ?;?;?;
U+4E3C;U+4E95;U+4E95,U+4E3C	# ?;?;?,?;
U+4E3D;U+4E3D;U+4E3D,U+9E97	# ?;?;?,?;
U+4E3E;U+4E3E;U+4E3E,U+8209;U+6319,U+64E7	# ?;?;?,?;?,?
U+4E3F;U+4E3F;U+4E3F	# ?;?;?;
U+4E40;U+4E40;U+4E40	# ?;?;?;
U+4E41;U+4E41;U+4E41	# ?;?;?;
U+4E42;U+4E42;U+4E42	# ?;?;?;
U+4E43;U+4E43;U+4E43,U+8FFA;U+5EFC	# ?;?;?,?;?
U+4E44;U+4E44;U+4E44	# ?;?;?;
U+4E45;U+4E45;U+4E45;U+4E46	# ?;?;?;?
U+4E46;U+4E45;U+4E45	# ?;?;?;
U+4E47;U+4E47;U+4E47	# ?;?;?;
U+4E48;U+4E48;U+4E48,U+9EBC;U+5E7A,U+5E85,U+9EBD	# ?;?;?,?;?,?,?
U+4E49;U+4E49;U+4E49,U+7FA9;U+7F9B	# ?;?;?,?;?
U+4E4A;U+4E4A;U+4E4A	# ?;?;?;
U+4E4B;U+4E4B;U+4E4B	# ?;?;?;
U+4E4C;U+4E4C;U+4E4C,U+70CF	# ?;?;?,?;
U+4E4D;U+4E4D;U+4E4D	# ?;?;?;
U+4E4E;U+4E4E;U+4E4E	# ?;?;?;
U+4E4F;U+4E4F;U+4E4F	# ?;?;?;
U+4E50;U+4E50;U+4E50,U+6A02;U+697D	# ?;?;?,?;?
U+4E51;U+4E51;U+4E51	# ?;?;?;
U+4E52;U+4E52;U+4E52	# ?;?;?;
U+4E53;U+4E53;U+4E53	# ?;?;?;
U+4E54;U+4E54;U+4E54,U+55AC	# ?;?;?,?;
U+4E56;U+4E56;U+4E56	# ?;?;?;
U+4E57;U+4E58;U+4E58	# ?;?;?;
U+4E58;U+4E58;U+4E58;U+4E57	# ?;?;?;?
U+4E59;U+4E59;U+4E59	# ?;?;?;
U+4E5A;U+4E5A;U+4E5A	# ?;?;?;
U+4E5B;U+4E5B;U+4E5B	# ?;?;?;
U+4E5C;U+4E5C;U+4E5C	# ?;?;?;
U+4E5D;U+4E5D;U+4E5D	# ?;?;?;
U+4E5E;U+4E5E;U+4E5E	# ?;?;?;
U+4E5F;U+4E5F;U+4E5F	# ?;?;?;
U+4E60;U+4E60;U+4E60,U+7FD2	# ?;?;?,?;
U+4E61;U+4E61;U+4E61,U+9109;U+9115,U+90F7	# ?;?;?,?;?,?
U+4E62;U+4E62;U+4E62	# ?;?;?;
U+4E63;U+4E63;U+4E63	# ?;?;?;
U+4E64;U+4E64;U+4E64	# ?;?;?;
U+4E65;U+4E65;U+4E65	# ?;?;?;
U+4E66;U+4E66;U+4E66,U+66F8	# ?;?;?,?;
U+4E67;U+4E67;U+4E67	# ?;?;?;
U+4E69;U+4E69;U+4E69;U+7A3D	# ?;?;?;?
U+4E6A;U+4E6A;U+4E6A	# ?;?;?;
U+4E6B;U+4E6B;U+4E6B	# ?;?;?;
U+4E6C;U+4E6C;U+4E6C	# ?;?;?;
U+4E6D;U+4E6D;U+4E6D	# ?;?;?;
U+4E6E;U+4E6E;U+4E6E	# ?;?;?;
U+4E6F;U+4E6F;U+4E6F	# ?;?;?;
U+4E70;U+4E70;U+4E70,U+8CB7	# ?;?;?,?;
U+4E71;U+4E71;U+4E71,U+4E82;U+4E7F	# ?;?;?,?;?
U+4E72;U+4E72;U+4E72	# ?;?;?;
U+4E73;U+4E73;U+4E73	# ?;?;?;
U+4E74;U+4E74;U+4E74	# ?;?;?;
U+4E75;U+4E75;U+4E75	# ?;?;?;
U+4E76;U+4E76;U+4E76	# ?;?;?;
U+4E77;U+4E77;U+4E77	# ?;?;?;
U+4E78;U+4E78;U+4E78	# ?;?;?;
U+4E7A;U+4E7A;U+4E7A	# ?;?;?;
U+4E7B;U+4E7B;U+4E7B	# ?;?;?;
U+4E7C;U+4E7C;U+4E7C	# ?;?;?;
U+4E7D;U+4E7D;U+4E7D	# ?;?;?;
U+4E7E;U+4E7E;U+4E7E,U+5E72;U+4E81,U+5E79,U+69A6,U+6F27	# ?;?;?,?;?,?,?,?
U+4E7F;U+4E71;U+4E71,U+4E7F;U+4E82	# ?;?;?,?;?
U+4E80;U+9F9F;U+9F9F,U+9F9C	# ?;?;?,?;
U+4E81;U+4E7E;U+5E72,U+4E7E;U+5E79,U+69A6,U+6F27	# ?;?;?,?;?,?,?
U+4E82;U+4E71;U+4E71,U+4E82;U+4E7F	# ?;?;?,?;?
U+4E83;U+4E83;U+4E83	# ?;?;?;
U+4E84;U+4E84;U+4E84	# ?;?;?;
U+4E85;U+4E85;U+4E85	# ?;?;?;
U+4E86;U+4E86;U+4E86,U+77AD;U+66B8	# ?;?;?,?;?
U+4E87;U+4E87;U+4E87	# ?;?;?;
U+4E88;U+4E88;U+4E88	# ?;?;?;
U+4E89;U+4E89;U+4E89,U+722D	# ?;?;?,?;
U+4E8B;U+4E8B;U+4E8B	# ?;?;?;
U+4E8C;U+4E8C;U+4E8C;U+8D30,U+8CB3,U+5F0D,U+8CAE	# ?;?;?;?,?,?,?
U+4E8D;U+4E8D;U+4E8D	# ?;?;?;
U+4E8E;U+4E8E;U+4E8E;U+65BC,U+6275	# ?;?;?;?,?
U+4E8F;U+4E8F;U+4E8F,U+8667	# ?;?;?,?;
U+4E90;U+4E90;U+4E90	# ?;?;?;
U+4E91;U+4E91;U+4E91,U+96F2	# ?;?;?,?;
U+4E92;U+4E92;U+4E92	# ?;?;?;
U+4E93;U+4E0C;U+4E93;U+4E0C,U+5176	# ?;?;?;?,?
U+4E94;U+4E94;U+4E94;U+4F0D	# ?;?;?;?
U+4E95;U+4E95;U+4E95;U+4E3C	# ?;?;?;?
U+4E97;U+5C81;U+5C81,U+6B72;U+6B73	# ?;?;?,?;?
U+4E98;U+4E98;U+4E98,U+4E99	# ?;?;?,?;
U+4E99;U+4E98;U+4E98,U+4E99	# ?;?;?,?;
U+4E9A;U+4E9A;U+4E9A,U+4E9E;U+4E9C	# ?;?;?,?;?
U+4E9B;U+4E9B;U+4E9B	# ?;?;?;
U+4E9C;U+4E9A;U+4E9A,U+4E9E	# ?;?;?,?;
U+4E9D;U+9F50;U+9F50,U+9F4A;U+6589	# ?;?;?,?;?
U+4E9E;U+4E9A;U+4E9A,U+4E9E;U+4E9C	# ?;?;?,?;?
U+4E9F;U+4E9F;U+4E9F	# ?;?;?;
U+4EA0;U+4EA0;U+4EA0	# ?;?;?;
U+4EA1;U+4EA1;U+4EA1;U+4EBE,U+5166	# ?;?;?;?,?
U+4EA2;U+4EA2;U+4EA2	# ?;?;?;
U+4EA4;U+4EA4;U+4EA4	# ?;?;?;
U+4EA5;U+4EA5;U+4EA5	# ?;?;?;
U+4EA6;U+4EA6;U+4EA6	# ?;?;?;
U+4EA7;U+4EA7;U+4EA7,U+7522;U+7523	# ?;?;?,?;?
U+4EA8;U+4EA8;U+4EA8	# ?;?;?;
U+4EA9;U+4EA9;U+4EA9,U+755D;U+756E,U+7546	# ?;?;?,?;?,?
U+4EAA;U+4EAA;U+4EAA	# ?;?;?;
U+4EAB;U+4EAB;U+4EAB;U+4EAF	# ?;?;?;?
U+4EAC;U+4EAC;U+4EAC;U+4EB0	# ?;?;?;?
U+4EAD;U+4EAD;U+4EAD	# ?;?;?;
U+4EAE;U+4EAE;U+4EAE	# ?;?;?;
U+4EAF;U+4EAB;U+4EAB	# ?;?;?;
U+4EB0;U+4EAC;U+4EAC	# ?;?;?;
U+4EB1;U+591C;U+591C	# ?;?;?;
U+4EB2;U+4EB2;U+4EB2,U+89AA	# ?;?;?,?;
U+4EB3;U+4EB3;U+4EB3	# ?;?;?;
U+4EB4;U+4EB4;U+4EB4	# ?;?;?;
U+4EB5;U+4EB5;U+4EB5,U+893B	# ?;?;?,?;
U+4EB6;U+4EB6;U+4EB6	# ?;?;?;
U+4EB7;U+5EC9;U+5EC9;U+899D	# ?;?;?;?
U+4EB8;U+4EB8;U+4EB8,U+56B2	# ?;?;?,?;
U+4EB9;U+4EB9;U+4EB9;U+6596	# ?;?;?;?
U+4EBA;U+4EBA;U+4EBA	# ?;?;?;
U+4EBB;U+4EBB;U+4EBB	# ?;?;?;
U+4EBD;U+4EBD;U+4EBD	# ?;?;?;
U+4EBE;U+4EA1;U+4EA1;U+5166	# ?;?;?;?
U+4EBF;U+4EBF;U+4EBF,U+5104	# ?;?;?,?;
U+4EC0;U+4EC0;U+4EC0	# ?;?;?;
U+4EC1;U+4EC1;U+4EC1;U+5FC8	# ?;?;?;?
U+4EC2;U+4EC2;U+4EC2	# ?;?;?;
U+4EC3;U+4EC3;U+4EC3	# ?;?;?;
U+4EC4;U+4EC4;U+4EC4;U+5E82	# ?;?;?;?
U+4EC5;U+4EC5;U+4EC5,U+50C5	# ?;?;?,?;
U+4EC6;U+4EC6;U+4EC6,U+50D5	# ?;?;?,?;
U+4EC7;U+4EC7;U+4EC7;U+96E0,U+8B90,U+8B8E	# ?;?;?;?,?,?
U+4EC8;U+4EC8;U+4EC8	# ?;?;?;
U+4EC9;U+4EC9;U+4EC9	# ?;?;?;
U+4ECA;U+4ECA;U+4ECA	# ?;?;?;
U+4ECB;U+4ECB;U+4ECB	# ?;?;?;
U+4ECD;U+4ECD;U+4ECD	# ?;?;?;
U+4ECE;U+4ECE;U+4ECE,U+5F9E;U+5F93	# ?;?;?,?;?
U+4ECF;U+4F5B;U+4F5B;U+9AF4,U+5F7F	# ?;?;?;?,?
U+4ED0;U+4ED0;U+4ED0	# ?;?;?;
U+4ED1;U+4ED1;U+4ED1,U+4F96,U+5D19;U+5D18	# ?;?;?,?,?;?
U+4ED2;U+4ED2;U+4ED2	# ?;?;?;
U+4ED3;U+4ED3;U+4ED3,U+5009	# ?;?;?,?;
U+4ED4;U+4ED4;U+4ED4	# ?;?;?;
U+4ED5;U+4ED5;U+4ED5	# ?;?;?;
U+4ED6;U+4ED6;U+4ED6;U+6039	# ?;?;?;?
U+4ED7;U+4ED7;U+4ED7	# ?;?;?;
U+4ED8;U+4ED8;U+4ED8	# ?;?;?;
U+4ED9;U+4ED9;U+4ED9;U+4EDA,U+50CA	# ?;?;?;?,?
U+4EDA;U+4ED9;U+4ED9,U+4EDA;U+50CA	# ?;?;?,?;?
U+4EDB;U+4EDB;U+4EDB	# ?;?;?;
U+4EDC;U+4EDC;U+4EDC	# ?;?;?;
U+4EDD;U+4EDD;U+4EDD;U+540C,U+8855	# ?;?;?;?,?
U+4EDE;U+4EDE;U+4EDE	# ?;?;?;
U+4EDF;U+4EDF;U+4EDF;U+5343,U+97C6	# ?;?;?;?,?
U+4EE0;U+4EE0;U+4EE0	# ?;?;?;
U+4EE1;U+4EE1;U+4EE1	# ?;?;?;
U+4EE2;U+4EE2;U+4EE2	# ?;?;?;
U+4EE3;U+4EE3;U+4EE3	# ?;?;?;
U+4EE4;U+4EE4;U+4EE4	# ?;?;?;
U+4EE5;U+4EE5;U+4EE5	# ?;?;?;
U+4EE6;U+4EE6;U+4EE6	# ?;?;?;
U+4EE8;U+4EE8;U+4EE8	# ?;?;?;
U+4EE9;U+4E0A;U+4E0A,U+4EE9;U+4E04	# ?;?;?,?;?
U+4EEA;U+4EEA;U+4EEA,U+5100	# ?;?;?,?;
U+4EEB;U+4EEB;U+4EEB	# ?;?;?;
U+4EEC;U+4EEC;U+4EEC,U+5011	# ?;?;?,?;
U+4EEF;U+4EEF;U+4EEF	# ?;?;?;
U+4EF0;U+4EF0;U+4EF0;U+4F52	# ?;?;?;?
U+4EF1;U+4EF1;U+4EF1	# ?;?;?;
U+4EF2;U+4EF2;U+4EF2;U+72C6	# ?;?;?;?
U+4EF3;U+4EF3;U+4EF3	# ?;?;?;
U+4EF4;U+4EF4;U+4EF4	# ?;?;?;
U+4EF5;U+4EF5;U+4EF5	# ?;?;?;
U+4EF6;U+4EF6;U+4EF6	# ?;?;?;
U+4EF7;U+4EF7;U+4EF7,U+50F9;U+4FA1	# ?;?;?,?;?
U+4EFB;U+4EFB;U+4EFB	# ?;?;?;
U+4EFD;U+4EFD;U+4EFD;U+5F6C	# ?;?;?;?
U+4EFF;U+4EFF;U+4EFF;U+5023,U+9AE3,U+5F77	# ?;?;?;?,?,?
U+4F00;U+4F00;U+4F00	# ?;?;?;
U+4F01;U+4F01;U+4F01	# ?;?;?;
U+4F02;U+6C9B;U+6C9B,U+4F02	# ?;?;?,?;
U+4F03;U+4F03;U+4F03	# ?;?;?;
U+4F04;U+4F04;U+4F04	# ?;?;?;
U+4F05;U+4F05;U+4F05	# ?;?;?;
U+4F06;U+4F06;U+4F06	# ?;?;?;
U+4F08;U+4F08;U+4F08	# ?;?;?;
U+4F09;U+4F09;U+4F09	# ?;?;?;
U+4F0A;U+4F0A;U+4F0A;U+6D22	# ?;?;?;?
U+4F0B;U+4F0B;U+4F0B;U+89D9	# ?;?;?;?
U+4F0C;U+4F0C;U+4F0C	# ?;?;?;
U+4F0D;U+4E94;U+4F0D;U+4E94	# ?;?;?;?
U+4F0E;U+4F0E;U+4F0E	# ?;?;?;
U+4F0F;U+4F0F;U+4F0F	# ?;?;?;
U+4F10;U+4F10;U+4F10	# ?;?;?;
U+4F11;U+4F11;U+4F11	# ?;?;?;
U+4F12;U+4F12;U+4F12	# ?;?;?;
U+4F13;U+4F13;U+4F13	# ?;?;?;
U+4F14;U+628C;U+628C,U+4F14	# ?;?;?,?;
U+4F15;U+592B;U+592B,U+4F15	# ?;?;?,?;
U+4F17;U+4F17;U+4F17,U+773E;U+8846	# ?;?;?,?;?
U+4F18;U+4F18;U+4F18,U+512A	# ?;?;?,?;
U+4F19;U+4F19;U+4F19,U+5925	# ?;?;?,?;
U+4F1A;U+4F1A;U+4F1A,U+6703	# ?;?;?,?;
U+4F1B;U+4F1B;U+4F1B,U+50B4	# ?;?;?,?;
U+4F1C;U+5005;U+5005	# ?;?;?;
U+4F1D;U+4F1D;U+4F1D	# ?;?;?;
U+4F1E;U+4F1E;U+4F1E,U+5098;U+7E56	# ?;?;?,?;?
U+4F1F;U+4F1F;U+4F1F,U+5049	# ?;?;?,?;
U+4F20;U+4F20;U+4F20,U+50B3	# ?;?;?,?;
U+4F21;U+4F21;U+4F21,U+4FE5	# ?;?;?,?;
U+4F22;U+4F22;U+4F22	# ?;?;?;
U+4F23;U+4F23;U+4F23,U+4FD4	# ?;?;?,?;
U+4F24;U+4F24;U+4F24,U+50B7	# ?;?;?,?;
U+4F25;U+4F25;U+4F25,U+5000	# ?;?;?,?;
U+4F26;U+4F26;U+4F26,U+502B	# ?;?;?,?;
U+4F27;U+4F27;U+4F27,U+5096	# ?;?;?,?;
U+4F29;U+4FE1;U+4FE1	# ?;?;?;
U+4F2A;U+4F2A;U+4F2A,U+507D;U+50DE	# ?;?;?,?;?
U+4F2B;U+4F2B;U+4F2B,U+4F47	# ?;?;?,?;
U+4F2C;U+4F2C;U+4F2C	# ?;?;?;
U+4F2D;U+4F2D;U+4F2D	# ?;?;?;
U+4F2E;U+4F2E;U+4F2E	# ?;?;?;
U+4F2F;U+4F2F;U+4F2F	# ?;?;?;
U+4F30;U+4F30;U+4F30	# ?;?;?;
U+4F32;U+4F32;U+4F32,U+4F60;U+511E,U+59B3,U+5B2D,U+5976	# ?;?;?,?;?,?,?,?
U+4F33;U+4F33;U+4F33	# ?;?;?;
U+4F34;U+4F34;U+4F34	# ?;?;?;
U+4F36;U+4F36;U+4F36	# ?;?;?;
U+4F38;U+4F38;U+4F38;U+62BB	# ?;?;?;?
U+4F39;U+4F39;U+4F39	# ?;?;?;
U+4F3A;U+4F3A;U+4F3A	# ?;?;?;
U+4F3B;U+4F3B;U+4F3B	# ?;?;?;
U+4F3C;U+4F3C;U+4F3C	# ?;?;?;
U+4F3D;U+4F3D;U+4F3D	# ?;?;?;
U+4F3E;U+4F3E;U+4F3E	# ?;?;?;
U+4F3F;U+4F3F;U+4F3F	# ?;?;?;
U+4F41;U+4F41;U+4F41	# ?;?;?;
U+4F42;U+4F42;U+4F42	# ?;?;?;
U+4F43;U+4F43;U+4F43	# ?;?;?;
U+4F45;U+4F45;U+4F45	# ?;?;?;
U+4F46;U+4F46;U+4F46	# ?;?;?;
